Car, Rating, MPG, Horsepower
2020 Kia Soul, 4.6, 30, 147
2020 Subaru Impreza, 4.3, 31, 152
2019 Kia Niro, 4.4, 49, 104
2019 Kia Niro Plug-in Hybrid, 4.4, 46, 104
2019 Kia Soul EV, 4.3, 108, 109
2019 Volkswagen Golf Alltrack, 4.2, 24, 168
2019 Volkswagen Golf SportWagen, 4.1, 24, 168
2020 Mercedes-Benz E-Class, 4.7, 22, 362
2019 Mercedes-Benz Mercedes-AMG E-Class, 4.7, 18, 603
2019 Audi A4 allroad, 4.5, 25, 248
2019 Volvo V90, 4.3, 25, 316
