ID, Type, Car, MPG, Horsepower, Seats, MSRP, Market Price, Price Range, Image Link
444332, suv, 2020 Mercedes-Benz GLE GLE 350, 22 MPG, 255, 5, 54695, 52075, $54695 - $62145, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13535/2020-mercedes-benz-gle-class-side_13535_001_640x480_149.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444862, suv, 2020 Acura MDX Base Style, 23 MPG, 290, 7, 45525, 38983, $45525 - $61275, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12361/2018-acura-mdx-side_12361_001_640x480_wa.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444180, suv, 2020 Volvo XC90 T6 Inscription, 21 MPG, 316, 7, 64095, 56839, $49345 - $74795, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13754/2020-volvo-xc90-side_13754_001_640x480_707.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445142, suv, 2020 Buick Enclave Avenir, 21 MPG, 310, 7, 54995, 51755, $41195 - $57295, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14072/2020-buick-enclave-side_14072_001_640x480_g1w.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444991, suv, 2020 Lexus RX RX 350L, 22 MPG, 290, 7, 48325, 45309, $48325 - $51485, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13980/2020-lexus-rx-side_13980_001_640x480_085.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
441535, suv, 2020 Lincoln Aviator Reserve, 21 MPG, 400, -, 57285, 54140, $52195 - $88895, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
445144, suv, 2020 Land Rover Discovery HSE Luxury, 18 MPG, 340, 7, 68225, 64404, $53325 - $70225, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12080/2017-land%20rover-discovery-side_12080_001_640x480_1aa.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445472, suv, 2020 Lexus GX GX 460, 16 MPG, 301, 7, 54025, 50135, $54025, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14065/2020-lexus-gx-side_14065_001_640x480_1j7.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
446243, suv, 2020 Toyota Land Cruiser Base Style, 14 MPG, 381, 8, 86740, 79705, $86740, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/11710/2017-toyota-land%20cruiser-side_11710_001_640x480_1f7.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
438507, suv, 2019 BMW X5 xDrive40i, 22 MPG, 335, 7, 60055, 53929, $60055, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13155/2019-bmw-x5-side_13155_001_640x480_300.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
446091, suv, 2020 Toyota RAV4 Hybrid XSE, 40 MPG, 118, 5, 35420, 34162, $29470 - $38000, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14077/2020-toyota-rav4%20hybrid-side_14077_001_640x480_1d6.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445568, suv, 2020 Subaru Crosstrek Hybrid, 35 MPG | 90 MPGe, 137, 5, 36155, 35012, $36155, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14213/2020-subaru-crosstrek%20hybrid-side_14213_001_640x480_k1x.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444188, suv, 2020 Volvo XC90 T8 Momentum, 27 MPG | 62 MPGe, 313, -, 68495, 61618, $67995 - $74795, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13754/2020-volvo-xc90-side_13754_001_640x480_707.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445576, suv, 2020 Porsche Cayenne E-Hybrid, 22 MPG | 46 MPGe, 335, 5, 82450, 77404, $82450 - $163250, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13963/2019-porsche-cayenne-side_13963_001_640x480_2y.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445987, suv, 2020 Hyundai Kona Electric Limited, 120 MPGe, 201, 5, 42920, 41507, $38310 - $46520, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13530/2019-hyundai-kona%20ev-side_13530_001_640x480_p6w.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444990, suv, 2020 Lexus RX RX 450h, 30 MPG, 308, 5, 47775, 44320, $47775 - $51575, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13974/2020-lexus-rx%20hybrid-side_13974_001_640x480_085.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444216, suv, 2020 Lexus NX 300h Luxury, 31 MPG, 194, 5, 47385, 0, $40295 - $47385, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13784/2020-lexus-nx%20hybrid-side_13784_001_640x480_085.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444338, suv, 2020 Ford Escape SE Sport, 41 MPG, 163, 5, 29450, 27503, $29450 - $36095, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13978/2020-ford-escape-side_13978_001_640x480_az.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
441656, suv, 2020 Lincoln Aviator Black Label Grand Touring, 23 MPG | 56 MPGe, 0, -, 88895, 84796, $69895 - $88895, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
443181, suv, 2020 Ford Explorer Limited HEV, 25 MPG, 0, 6, 55670, 52335, $53475 - $55670, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13741/2020-ford-explorer-side_13741_001_640x480_yz.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
441809, suv, 2020 Kia Telluride SX, 23 MPG, 291, 7, 42960, 42581, $33060 - $44960, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13743/2020-kia-telluride-side_13743_001_640x480_swp.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444332, suv, 2020 Mercedes-Benz GLE GLE 350, 22 MPG, 255, 5, 54695, 52075, $54695 - $62145, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13535/2020-mercedes-benz-gle-class-side_13535_001_640x480_149.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
443771, suv, 2020 Hyundai Palisade SEL, 22 MPG, 291, 8, 34845, 33837, $32895 - $47745, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13735/2020-hyundai-palisade-side_13735_001_640x480_ww2.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
